#HIPID	ASASID	RA	DEC	plx	e_plc	pmRA	e_pmRA	pmDE	e_pmDE	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	Vmag	BVmag	e_bv_arr
21588	0	69.53906597	16.03338797	20.07	1.68	110.0	2.14	-40.94	1.48	5.398	0.364	4.995	0.016	4.977	0.018	5.78	0.312	0.005
20850	042804+1352.0	67.01821634	13.86798485	21.86	1.72	106.7	1.84	-17.78	1.27	7.506	0.027	7.142	0.044	7.003	0.021	9.02	0.839	0.007
21008	043018+1950.4	67.57463631	19.84064462	21.23	0.61	94.99	0.78	-28.13	0.56	6.105	0.024	5.89	0.033	5.843	0.023	7.09	0.47	0.015
20219	0	64.9901455	14.03524961	21.88	0.36	114.13	0.42	-20.45	0.37	5.002	0.037	4.927	0.047	4.853	0.015	5.58	0.283	0.008
21112	043129+1354.2	67.87204939	13.90351708	19.1	0.76	91.34	1.04	-20.13	0.77	6.733	0.02	6.572	0.051	6.455	0.021	7.78	0.54	0.019
20284	0	65.2194064	13.86447076	21.09	0.51	104.25	0.6	-18.07	0.49	5.286	0.027	5.155	0.024	5.062	0.018	6.15	0.456	0.011
21543	043732+1508.8	69.38303822	15.14649796	20.0	1.59	95.83	1.82	-19.09	1.31	6.365	0.021	6.099	0.017	5.992	0.021	7.53	0.597	0.012
21683	0	69.81854939	15.91802401	20.97	0.27	83.17	0.35	-20.97	0.24	4.682	0.294	4.547	0.222	4.229	0.036	4.67	0.147	0.008
21036	0	67.65541034	13.72445024	22.12	0.35	107.25	0.44	-18.94	0.29	5.221	0.312	4.834	0.036	4.748	0.017	5.4	0.263	0.007
20130	041858+1954.4	64.74126917	19.90678998	23.27	1.31	114.61	1.63	-36.41	1.15	7.286	0.02	7.0	0.018	6.921	0.016	8.62	0.745	0.005
21099	043116+2008.0	67.81511738	20.13326459	21.81	1.33	98.74	2.27	-44.79	1.54	7.259	0.02	6.965	0.063	6.884	0.023	8.59	0.734	0.014
21762	044025+1630.8	70.10589111	16.51373363	22.15	2.17	87.06	2.83	-31.16	2.21	7.358	0.026	6.809	0.021	6.685	0.023	9.47	1.096	0.006
19781	041426+1437.5	63.60660999	14.62508283	21.62	1.1	106.63	1.23	-19.8	0.88	7.216	0.029	6.916	0.024	6.825	0.017	8.45	0.693	0.011
19834	041510+1423.9	63.79308237	14.39849956	27.31	3.16	119.68	4.21	-15.19	3.51	8.947	0.026	8.294	0.021	8.128	0.017	11.56	1.363	0.01
20762	042654+1308.3	66.72616514	13.13821634	22.73	2.58	105.71	2.73	-17.34	2.04	8.432	0.041	7.917	0.029	7.795	0.031	10.48	1.146	0.001
20901	0	67.20875437	13.04763905	20.47	0.28	105.57	0.35	-15.0	0.24	4.793	0.198	4.656	0.204	4.534	0.033	5.02	0.215	0.003
19504	041043+1825.4	62.67620065	18.42332929	22.62	0.52	123.32	0.54	-31.39	0.35	5.795	0.02	5.625	0.02	5.572	0.021	6.61	0.427	0.009
21179	043226+1306.8	68.10663105	13.11327741	17.75	2.62	104.36	3.43	-19.28	2.65	8.423	0.026	7.791	0.033	7.654	0.02	11.0	1.194	0.006
21267	043347+1315.1	68.44408524	13.25192688	22.39	0.56	102.85	0.74	-17.82	0.52	5.759	0.02	5.612	0.018	5.558	0.023	6.62	0.429	0.012
21654	043857+1406.3	69.73855133	14.10563195	21.52	0.97	103.26	1.07	-22.62	0.83	6.814	0.037	6.52	0.029	6.443	0.021	7.96	0.655	0.009
20745	042643+1241.2	66.67812114	12.68661851	29.09	2.68	123.38	3.3	-16.36	2.16	7.824	0.018	7.209	0.023	7.03	0.024	10.5	1.358	0.002
20349	042132+2102.4	65.38159798	21.03996466	19.14	0.51	105.51	0.64	-35.54	0.5	5.97	0.02	5.786	0.016	5.762	0.02	6.79	0.434	0.015
19263	040743+1631.1	61.92968543	16.51885069	19.67	1.87	123.87	1.91	-25.56	1.4	8.105	0.024	7.599	0.042	7.511	0.026	9.94	1.005	0.012
20480	042322+2122.7	65.84278224	21.3791903	19.88	1.14	99.26	1.31	-38.26	0.96	7.531	0.019	7.197	0.017	7.121	0.016	8.84	0.758	0.003
