#Star    V      err     Mv      err     B-V     err    V-Ic    err     Ks       err    V-Ks    err
20899	 7.847	0.010	4.521	0.041	0.609	0.003	0.626	0.011	6.398	0.010	1.449	0.014
20948	 6.914	0.010	3.609	0.042	0.451	0.002	0.516	0.009	5.791	0.010	1.123	0.014
20949	 9.206	0.030	5.394	0.057	0.764	0.002	0.768	0.011	7.462	0.029	1.744	0.042
20951	 8.955	0.007	5.697	0.055	0.831	0.002	0.827	0.009	7.056	0.010	1.899	0.012
20978	 9.090	0.030	5.807	0.051	0.854	0.003	0.879	0.016	7.120	0.010	1.970	0.032
21029	 4.786	0.007	1.484	0.034	0.171	0.002	0.187	0.016	4.366	0.011	0.420	0.013
21036	 5.406	0.007	2.159	0.036	0.262	0.003	0.311	0.016	4.732	0.009	0.674	0.012
21066	 7.045	0.007	3.746	0.040	0.465	0.004	0.529	0.016	5.893	0.020	1.152	0.021
21099	 8.590	0.010	5.276	0.048	0.742	0.004	0.747	0.016	6.884	0.022	1.706	0.024
21112	 7.775	0.007	4.238	0.049	0.539	0.004	0.591	0.016	6.464	0.010	1.311	0.012
21138	11.055	0.015	7.678	0.121	1.293	0.003	1.471	0.016	7.895	0.024	3.160	0.028
21152	 6.391	0.010	3.280	0.038	0.413	0.004	0.490	0.016	5.333	0.021	1.058	0.023
21256	10.687	0.015	7.515	0.060	1.236	0.004	1.362	0.016	7.686	0.026	3.001	0.030
21261	10.737	0.015	7.410	0.070	1.198	0.003	1.317	0.016	7.820	0.022	2.917	0.027
21267	 6.620	0.010	3.319	0.044	0.431	0.004	0.482	0.016	5.558	0.022	1.062	0.024
21317	 7.920	0.010	4.633	0.046	0.635	0.004	0.638	0.016	6.454	0.010	1.466	0.014
21637	 7.527	0.010	4.364	0.036	0.576	0.003	0.607	0.016	6.162	0.022	1.365	0.024
21723	10.043	0.015	6.847	0.066	1.072	0.004	1.136	0.016	7.480	0.022	2.563	0.027
21741	 9.397	0.007	5.495	0.058	0.812	0.002	0.816	0.011	7.565	0.020	1.832	0.021
22044	 5.401	0.007	2.184	0.045	0.251	0.002	0.296	0.016	4.733	0.020	0.668	0.021
22177	10.910	0.010	7.623	0.091	1.276	0.004	1.404	0.020	7.826	0.020	3.084	0.022
22253	10.687	0.006	6.999	0.066	1.112	0.003	1.184	0.016	7.995	0.033	2.692	0.034
22380	 8.990	0.010	5.592	0.062	0.828	0.002	0.846	0.011	7.059	0.026	1.931	0.028
22422	 7.737	0.010	4.327	0.048	0.580	0.003	0.607	0.016	6.355	0.016	1.382	0.019
22566	 7.895	0.007	3.975	0.059	0.526	0.003	0.568	0.016	6.671	0.021	1.224	0.022
22654	10.290	0.010	6.704	0.081	1.070	0.008	1.114	0.020	7.742	0.020	2.548	0.022
22850	 6.371	0.007	2.378	0.056	0.291	0.004	0.350	0.016	5.623	0.018	0.748	0.019
23069	 8.890	0.007	5.175	0.073	0.737	0.002	0.724	0.016	7.235	0.017	1.655	0.018
23214	 6.755	0.007	3.593	0.039	0.450	0.004	0.498	0.016	5.645	0.016	1.110	0.017
23312	 9.722	0.010	6.159	0.074	0.957	0.047	99999	.9999	7.589	0.026	2.133	0.028
23497	 4.640	0.010	1.041	0.045	0.150	0.003	0.195	0.016	4.245	0.021	0.395	0.023
23750	 8.820	0.010	5.197	0.061	0.730	0.015	99999	.9999	7.128	0.017	1.692	0.020
24116	 7.852	0.010	3.314	0.084	0.445	0.015	99999	.9999	6.821	0.017	1.031	0.020
24923	 9.042	0.010	5.292	0.088	0.765	0.029	99999	.9999	7.302	0.021	1.740	0.023
26382	 5.541	0.006	2.014	0.072	0.222	0.004	0.257	0.016	4.935	0.025	0.606	0.026
28356	 7.780	0.010	3.422	0.204	0.461	0.015	99999	.9999	6.685	0.020	1.095	0.022
